uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.1,,,,,,,,,0.0,10.1,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.1,19.3,14.239,5.2,True,1.2616,0.3467,0,,0.003,10.1,1.396,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.8,18.4,14.398,4.488,True,2.5247,0.32,0,3,1.014,10.1,1.2673,aca1a47,0,300.0,12,12,True,,9,2,3,4,0,83,3,108,0,12.0,2070da06d4a0
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.8,18.4,14.398,4.488,True,2.5247,0.32,0,3,1.432,10.1,1.2673,aca1a47,2,300.0,12,12,True,,9,2,3,4,0,83,3,108,0,12.0,2070da06d4a0
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,sequential,ok,12.7,21.6,11.224,8.9,True,2.867,0.466,0,,0.003,9.5,1.3368,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,21.1,11.18,8.739,True,2.867,0.3348,0,1,1.696,9.5,1.1579,aca1a47,0,300.0,12,12,True,,6,2,3,1,0,64,3,92,0,11.972,2070da06d4a0
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,21.1,11.18,8.739,True,2.867,0.3348,0,1,1.718,9.5,1.1579,aca1a47,1,300.0,12,12,True,,6,2,3,1,0,64,3,92,0,11.972,2070da06d4a0
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.6,21.1,15.231,6.075,True,4.4021,0.3201,0,1,1.951,9.3,1.1398,aca1a47,2,300.0,16,16,True,,5,2,1,2,0,87,1,96,0,12.0,2070da06d4a0
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.6,23.2,14.422,8.6,True,3.4653,0.4059,0,,0.004,9.3,1.5699,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.6,21.1,15.261,6.05,True,4.4021,0.3201,0,2,1.973,9.3,1.1398,aca1a47,0,300.0,16,16,True,,4,2,1,1,0,87,1,96,0,12.0,2070da06d4a0
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.8,18.4,14.398,4.488,True,2.5247,0.32,0,3,2.066,10.1,1.2673,aca1a47,1,300.0,12,12,True,,9,2,3,4,0,83,3,108,0,12.0,2070da06d4a0
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.1,,,,,,,,,0.0,11.1,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.9,29.0,19.241,11.1,True,0.8088,0.4239,0,,0.005,11.1,1.6126,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,22.3,19.449,4.651,True,2.4363,0.3312,0,2,2.115,11.1,1.0991,aca1a47,0,300.0,16,16,True,,6,2,2,2,0,133,2,112,0,12.0,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.6,18.5,14.303,4.336,True,0.9404,0.762,0,0,2.323,8.5,1.1294,aca1a47,2,300.0,16,16,True,,5,2,1,2,0,85,1,88,0,12.0,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.8,18.9,14.335,4.709,True,0.9404,0.7359,0,0,2.336,8.5,1.1529,aca1a47,1,300.0,16,16,True,,4,2,1,1,0,84,1,88,0,12.0,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,8.5,,,,,,,,,0.0,8.5,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,sequential,no_solution,,,,,,,,,,,8.5,,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.7,18.7,14.46,4.405,True,0.9404,0.6774,0,0,2.324,8.5,1.1412,aca1a47,0,300.0,16,16,True,,4,2,1,1,0,81,1,88,0,12.0,2070da06d4a0
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,21.1,11.18,8.739,True,2.867,0.3348,0,1,2.472,9.5,1.1579,aca1a47,2,300.0,12,12,True,,6,2,3,1,0,64,3,92,0,11.972,2070da06d4a0
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.0,24.3,17.987,6.3,True,1.6358,0.4114,0,,0.003,13.2,1.3636,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.7,22.7,18.702,4.437,True,0.9207,0.3221,0,6,1.746,13.2,1.1894,aca1a47,0,300.0,16,16,True,,4,2,1,1,0,116,1,136,0,7.9674,2070da06d4a0
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.1,22.2,19.557,4.444,True,2.4363,0.3585,0,1,3.051,11.1,1.0901,aca1a47,2,300.0,16,16,True,,6,2,1,3,0,135,1,112,0,12.0,2070da06d4a0
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.1,22.2,19.557,4.444,True,2.4363,0.3585,0,1,3.099,11.1,1.0901,aca1a47,1,300.0,16,16,True,,6,2,1,3,0,135,1,112,0,12.0,2070da06d4a0
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.5,11.258,3.841,True,3.6431,0.8647,0,0,1.17,7.8,1.0769,aca1a47,1,300.0,16,16,True,,5,2,1,2,0,76,1,80,0,11.8448,2070da06d4a0
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.2,,,,,,,,,0.0,10.2,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.4,25.0,17.749,7.6,True,2.972,0.3918,0,,0.005,10.2,1.7059,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.1,20.6,18.476,2.882,True,1.0715,0.3201,0,1,1.627,10.2,1.1863,aca1a47,0,300.0,16,16,True,,9,2,3,4,0,127,3,112,0,12.0,2070da06d4a0
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.8,22.8,18.901,4.331,True,0.9237,0.3221,0,3,2.138,13.2,1.197,aca1a47,1,300.0,16,16,True,,6,2,1,3,0,124,1,136,0,10.4148,2070da06d4a0
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,7.8,,,,,,,,,0.0,7.8,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,sequential,ok,11.7,19.5,10.932,7.8,True,1.9208,0.8647,0,,0.005,7.8,1.5,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.5,11.258,3.841,True,3.6431,0.8647,0,0,1.68,7.8,1.0769,aca1a47,0,300.0,16,16,True,,5,2,1,2,0,76,1,80,0,11.8448,2070da06d4a0
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.1,20.6,18.507,2.859,True,1.0715,0.3201,0,1,1.864,10.2,1.1863,aca1a47,1,300.0,16,16,True,,8,2,2,4,0,126,2,112,0,12.0,2070da06d4a0
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.0,20.4,18.195,2.919,True,0.9989,0.3201,0,1,1.862,10.2,1.1765,aca1a47,2,300.0,16,16,True,,8,2,2,4,0,111,2,104,0,12.0,2070da06d4a0
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.8,22.8,18.916,4.312,True,0.9235,0.3221,0,4,2.144,13.2,1.197,aca1a47,2,300.0,16,16,True,,6,1,1,4,0,124,1,136,0,9.0,2070da06d4a0
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.5,11.018,4.041,True,3.6431,0.8647,0,1,1.707,7.8,1.0769,aca1a47,2,300.0,16,16,True,,6,2,1,3,0,70,1,80,0,9.0,2070da06d4a0
