uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.1,,,,,,,,,0.0,10.1,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,1f9fc93a5969
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.1,19.3,14.239,5.2,True,1.2616,0.3467,0,,0.003,10.1,1.396,88755d1,0,300.0,,,,,,,,,,,,,,,1f9fc93a5969
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.8,18.4,14.398,4.488,True,2.5247,0.32,0,3,1.121,10.1,1.2673,88755d1,0,300.0,12,12,True,,8,2,2,4,0,82,2,108,0,8.6934,1f9fc93a5969
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.6,18.5,14.303,4.336,True,0.9404,0.762,0,0,1.605,8.5,1.1294,88755d1,2,300.0,16,16,True,,5,2,1,2,0,84,1,88,0,9.1672,1f9fc93a5969
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,21.1,11.18,8.739,True,2.867,0.3348,0,1,1.671,9.5,1.1579,88755d1,1,300.0,12,12,True,,6,2,3,1,0,64,3,92,0,11.972,1f9fc93a5969
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,21.1,11.18,8.739,True,2.867,0.3348,0,1,1.685,9.5,1.1579,88755d1,2,300.0,12,12,True,,6,2,3,1,0,64,3,92,0,11.972,1f9fc93a5969
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,1f9fc93a5969
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,sequential,ok,12.7,21.6,11.224,8.9,True,2.867,0.466,0,,0.005,9.5,1.3368,88755d1,0,300.0,,,,,,,,,,,,,,,1f9fc93a5969
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,21.1,11.18,8.739,True,2.867,0.3348,0,1,1.89,9.5,1.1579,88755d1,0,300.0,12,12,True,,6,2,3,1,0,64,3,92,0,11.972,1f9fc93a5969
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.8,18.4,14.398,4.488,True,2.5247,0.32,0,3,2.071,10.1,1.2673,88755d1,2,300.0,12,12,True,,8,2,2,4,0,82,2,108,0,8.6934,1f9fc93a5969
