uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,max_accel,phys_fp
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,13.7,20.1,15.298,5.481,True,2.5247,0.32,0,1,1.67,10.1,1.3564,fb5c257,1,300.0,12,12,True,,6,2,2,2,0,62,2,8.4,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.1,19.2,14.543,4.853,True,0.9244,0.7359,0,1,1.742,8.5,1.1882,fb5c257,1,300.0,16,16,True,,4,2,1,1,0,90,1,12.0,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,8.5,,,,,,,,,0.0,8.5,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,sequential,no_solution,,,,,,,,,,,8.5,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.0,19.0,14.666,4.551,True,0.925,0.6774,0,1,1.723,8.5,1.1765,fb5c257,0,300.0,16,16,True,,3,2,1,0,0,87,1,12.0,2070da06d4a0
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.1,,,,,,,,,0.0,10.1,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.1,19.3,14.239,5.2,True,1.2616,0.3467,0,,0.006,10.1,1.396,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,13.7,20.1,15.298,5.481,True,2.5247,0.32,0,1,1.852,10.1,1.3564,fb5c257,0,300.0,12,12,True,,6,2,2,2,0,62,2,8.4,2070da06d4a0
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.9,18.8,14.296,4.659,True,0.9221,0.8273,0,3,1.865,8.5,1.1647,fb5c257,2,300.0,16,16,True,,3,2,1,0,0,88,1,12.0,2070da06d4a0
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
