uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.1,,,,,,,,,0.0,10.1,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.1,19.3,14.239,5.2,True,1.2616,0.3467,0,,0.003,10.1,1.396,1cabda9,0,300.0,,,,,,,,,,,,,0,0,1.261584,0.346746,-1,,,,b414b4637808
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.3,17.9,14.478,3.95,True,2.5059,0.3396,0,4,3.034,10.1,1.2178,1cabda9,0,300.0,12,12,True,,6,2,1,3,0,79,1,569,0,0,2.505864,0.339576,-1,108,0,8.6934,b414b4637808
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.3,17.9,14.478,3.95,True,2.5059,0.3396,0,4,3.119,10.1,1.2178,1cabda9,1,300.0,12,12,True,,6,2,1,3,0,79,1,569,0,0,2.505864,0.339576,-1,108,0,8.6934,b414b4637808
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,8.5,,,,,,,,,0.0,8.5,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,sequential,no_solution,,,,,,,,,,,8.5,,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.7,18.7,14.46,4.405,True,0.9404,0.6774,0,0,3.579,8.5,1.1412,1cabda9,0,300.0,16,16,True,,4,2,1,1,0,80,1,583,0,0,0.940356,0.677377,-1,88,0,10.4209,b414b4637808
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.6,18.5,14.303,4.336,True,0.9404,0.762,0,0,3.94,8.5,1.1294,1cabda9,2,300.0,16,16,True,,5,2,1,2,0,84,1,572,0,0,0.940356,0.762012,-1,88,0,9.1672,b414b4637808
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.6,23.2,14.422,8.6,True,3.4653,0.4059,0,,0.005,9.3,1.5699,1cabda9,0,300.0,,,,,,,,,,,,,0,0,3.465321,0.405881,-1,,,,b414b4637808
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,20.7,14.96,5.934,True,4.2521,0.331,0,3,4.159,9.3,1.1828,1cabda9,0,300.0,16,16,True,,4,2,1,1,0,78,1,621,0,0,4.252143,0.330963,-1,96,0,9.1646,b414b4637808
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.8,18.9,14.335,4.709,True,0.9404,0.7362,0,0,4.312,8.5,1.1529,1cabda9,1,300.0,16,16,True,,4,2,1,1,0,83,1,581,0,0,0.940356,0.736208,-1,88,0,9.5386,b414b4637808
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.3,17.9,14.478,3.95,True,2.5059,0.3396,0,4,4.379,10.1,1.2178,1cabda9,2,300.0,12,12,True,,6,2,1,3,0,79,1,569,0,0,2.505864,0.339576,-1,108,0,8.6934,b414b4637808
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.9,20.6,11.169,8.263,True,2.867,0.3547,0,1,4.381,9.5,1.1474,1cabda9,1,300.0,12,12,True,,4,2,1,1,0,66,1,531,0,0,2.867013,0.354748,-1,92,0,9.752,b414b4637808
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.1,,,,,,,,,0.0,11.1,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.9,29.0,19.241,11.1,True,0.8088,0.4239,0,,0.005,11.1,1.6126,1cabda9,0,300.0,,,,,,,,,,,,,0,0,0.808835,0.423921,-1,,,,b414b4637808
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.1,22.2,19.457,4.536,True,2.4363,0.3549,0,3,4.77,11.1,1.0901,1cabda9,0,300.0,16,16,True,,5,2,1,2,0,132,1,740,0,0,2.436268,0.354888,-1,112,0,9.5506,b414b4637808
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.9,20.6,11.169,8.263,True,2.867,0.3547,0,1,4.977,9.5,1.1474,1cabda9,2,300.0,12,12,True,,4,2,1,1,0,66,1,531,0,0,2.867013,0.354748,-1,92,0,9.752,b414b4637808
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,sequential,ok,12.7,21.6,11.224,8.9,True,2.867,0.466,0,,0.004,9.5,1.3368,1cabda9,0,300.0,,,,,,,,,,,,,0,0,2.867013,0.465978,-1,,,,b414b4637808
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.9,20.6,11.169,8.263,True,2.867,0.3547,0,1,4.991,9.5,1.1474,1cabda9,0,300.0,12,12,True,,4,2,1,1,0,66,1,531,0,0,2.867013,0.354748,-1,92,0,9.752,b414b4637808
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,17.0,28.1,12.403,15.393,False,4.2521,0.3234,0,1,5.461,9.3,1.828,1cabda9,1,300.0,16,16,True,deadlock: no team progress,4,2,1,1,0,69,1,720,0,0,4.252143,0.323449,-1,144,0,9.1646,b414b4637808
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.1,20.9,15.059,6.001,True,4.2069,0.331,0,3,5.903,9.3,1.1935,1cabda9,2,300.0,16,16,True,,5,2,1,2,0,84,1,628,0,0,4.20687,0.330963,-1,104,0,9.0105,b414b4637808
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,22.3,19.556,4.546,True,2.4363,0.3648,0,1,6.364,11.1,1.0991,1cabda9,2,300.0,16,16,True,,5,2,1,2,0,133,1,744,0,0,2.436268,0.364753,-1,112,0,9.5506,b414b4637808
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,22.3,19.556,4.546,True,2.4363,0.3648,0,1,6.651,11.1,1.0991,1cabda9,1,300.0,16,16,True,,5,2,1,2,0,133,1,744,0,0,2.436268,0.364753,-1,112,0,9.5506,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,7.8,,,,,,,,,0.0,7.8,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,sequential,ok,11.7,19.5,10.932,7.8,True,1.9208,0.8647,0,,0.004,7.8,1.5,1cabda9,0,300.0,,,,,,,,,,,,,0,0,1.920843,0.86471,-1,,,,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.5,11.258,3.841,True,3.6431,0.8647,0,0,2.689,7.8,1.0769,1cabda9,0,300.0,16,16,True,,5,2,1,2,0,75,1,450,0,0,3.643101,0.86471,-1,80,0,11.8837,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.5,11.258,3.841,True,3.6431,0.8647,0,0,2.803,7.8,1.0769,1cabda9,1,300.0,16,16,True,,5,2,1,2,0,75,1,450,0,0,3.643101,0.86471,-1,80,0,11.8837,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.5,11.018,4.041,True,3.6431,0.8647,0,1,2.727,7.8,1.0769,1cabda9,2,300.0,16,16,True,,6,2,1,3,0,70,1,444,0,0,3.643101,0.86471,-1,80,0,8.5222,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.0,24.3,17.987,6.3,True,1.6358,0.4114,0,,0.006,13.2,1.3636,1cabda9,0,300.0,,,,,,,,,,,,,0,0,1.635818,0.411397,-1,,,,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.0,22.0,18.303,4.027,True,1.4044,0.3752,0,2,4.75,13.2,1.1364,1cabda9,0,300.0,16,16,True,,6,2,1,3,0,124,1,697,0,0,1.404388,0.375187,-1,128,0,9.7805,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.1,22.1,18.282,4.172,True,1.3632,0.3748,0,3,5.159,13.2,1.1439,1cabda9,2,300.0,16,16,True,,6,1,2,3,0,125,2,698,0,0,1.363209,0.374806,-1,136,0,9.7433,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.0,22.0,18.303,4.027,True,1.4044,0.3752,0,3,5.715,13.2,1.1364,1cabda9,1,300.0,16,16,True,,6,2,1,3,0,124,1,697,0,0,1.404388,0.375187,-1,128,0,9.7805,b414b4637808
