uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.8,20.4,16.398,4.858,True,2.5134,0.3208,0,4,1.343,10.1,1.4653,88755d1,2,300.0,12,12,True,,5,2,0,3,0,95,17,124,0,4.8442,34f7729fcabc
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.8,19.2,14.503,4.788,True,0.9484,0.762,0,0,1.384,8.5,1.1529,88755d1,2,300.0,16,16,True,,3,1,0,2,0,85,25,88,0,5.5558,34f7729fcabc
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.1,,,,,,,,,0.0,10.1,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.1,19.3,14.239,5.2,True,1.2616,0.3467,0,,0.004,10.1,1.396,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.8,20.4,16.398,4.858,True,2.5134,0.3208,0,4,1.571,10.1,1.4653,88755d1,0,300.0,12,12,True,,5,2,0,3,0,95,17,124,0,4.8442,34f7729fcabc
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.8,20.4,16.398,4.858,True,2.5134,0.3208,0,4,1.581,10.1,1.4653,88755d1,1,300.0,12,12,True,,5,2,0,3,0,95,17,124,0,4.8442,34f7729fcabc
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,8.5,,,,,,,,,0.0,8.5,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,sequential,no_solution,,,,,,,,,,,8.5,,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.6,19.2,14.552,4.747,True,0.8127,0.7155,0,2,1.599,8.5,1.1294,88755d1,0,300.0,16,16,True,,4,2,0,2,0,68,22,88,0,9.4584,34f7729fcabc
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,sequential,ok,12.7,21.6,11.224,8.9,True,2.867,0.466,0,,0.003,9.5,1.3368,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,22.0,5.694,17.255,False,2.867,0.3229,0,0,1.694,9.5,1.1579,88755d1,0,300.0,12,12,True,deadlock: no team progress,0,0,0,0,0,39,170,92,0,3.0,34f7729fcabc
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,17.0,28.1,10.75,16.771,False,3.1022,0.3051,0,3,2.311,9.3,1.828,88755d1,1,300.0,16,16,True,deadlock: no team progress,3,2,0,1,0,58,149,144,0,9.0105,34f7729fcabc
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.7,19.4,14.447,5.035,True,0.8127,0.7362,0,2,2.333,8.5,1.1412,88755d1,1,300.0,16,16,True,,4,2,0,2,0,73,26,88,0,9.6496,34f7729fcabc
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,22.0,5.694,17.255,False,2.867,0.3229,0,0,2.463,9.5,1.1579,88755d1,2,300.0,12,12,True,deadlock: no team progress,0,0,0,0,0,39,170,92,0,3.0,34f7729fcabc
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,22.0,5.694,17.255,False,2.867,0.3229,0,0,2.499,9.5,1.1579,88755d1,1,300.0,12,12,True,deadlock: no team progress,0,0,0,0,0,39,170,92,0,3.0,34f7729fcabc
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.1,,,,,,,,,0.0,11.1,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.9,29.0,19.241,11.1,True,0.8088,0.4239,0,,0.007,11.1,1.6126,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.6,23.1,19.585,5.287,True,2.4363,0.3767,0,3,2.847,11.1,1.1351,88755d1,0,300.0,16,16,True,,2,1,0,1,0,125,31,112,0,3.9279,34f7729fcabc
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.1,22.6,19.679,4.742,True,2.4363,0.3585,0,1,2.956,11.1,1.0901,88755d1,1,300.0,16,16,True,,3,1,0,2,0,133,29,112,0,3.9279,34f7729fcabc
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.1,22.6,19.679,4.742,True,2.4363,0.3585,0,1,2.97,11.1,1.0901,88755d1,2,300.0,16,16,True,,3,1,0,2,0,133,29,112,0,3.9279,34f7729fcabc
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.2,,,,,,,,,0.0,10.2,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.4,25.0,17.749,7.6,True,2.972,0.3918,0,,0.003,10.2,1.7059,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.4,21.0,18.785,3.029,True,1.0641,0.3408,0,2,1.383,10.2,1.2157,88755d1,0,300.0,16,1,True,,5,2,0,3,0,115,6,112,0,8.9958,34f7729fcabc
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.0,24.3,17.987,6.3,True,1.6358,0.4114,0,,0.003,13.2,1.3636,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.6,22.6,18.723,4.288,True,0.9216,0.3221,0,4,1.965,13.2,1.1818,88755d1,0,300.0,16,16,True,,6,2,0,4,0,121,23,136,0,7.2904,34f7729fcabc
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.6,23.2,14.422,8.6,True,3.4653,0.4059,0,,0.006,9.3,1.5699,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,17.0,28.2,10.695,16.907,False,3.1008,0.3051,0,3,3.33,9.3,1.828,88755d1,0,300.0,16,16,True,deadlock: no team progress,4,2,0,2,0,57,149,144,0,6.8491,34f7729fcabc
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,17.0,28.1,10.674,16.835,False,3.1022,0.3051,0,3,3.367,9.3,1.828,88755d1,2,300.0,16,16,True,deadlock: no team progress,3,2,0,1,0,58,148,144,0,9.0105,34f7729fcabc
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,7.8,,,,,,,,,0.0,7.8,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,sequential,ok,11.7,19.5,10.932,7.8,True,1.9208,0.8647,0,,0.003,7.8,1.5,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.3,11.258,3.641,True,3.8149,0.8647,0,0,1.073,7.8,1.0769,88755d1,0,300.0,16,16,True,,3,2,0,1,0,74,27,80,0,9.349,34f7729fcabc
