uid,method,planner_seed,ok_a,ok_b,team_time_a,team_time_b,diff
n2_chain_02697044,lower_bound,0,True,True,7.7,7.7,0.0
n2_chain_02697044,sequential,0,True,True,14.1,14.1,0.0
n2_chain_02697044,wm_planner,0,True,True,8.5,8.5,0.0
n2_chain_02697044,wm_planner,1,True,True,8.6,8.6,0.0
n2_chain_02697044,wm_planner,2,True,True,8.6,8.4,-0.1999999999999993
n2_chain_02d7ec57,lower_bound,0,True,True,10.7,10.7,0.0
n2_chain_02d7ec57,sequential,0,True,True,18.3,18.3,0.0
n2_chain_02d7ec57,wm_planner,0,True,True,11.2,11.1,-0.09999999999999964
n2_chain_02d7ec57,wm_planner,1,True,True,11.1,11.1,0.0
n2_chain_02d7ec57,wm_planner,2,True,True,11.2,11.1,-0.09999999999999964
n2_chain_036ff458,lower_bound,0,True,True,11.6,11.6,0.0
n2_chain_036ff458,sequential,0,True,True,16.4,16.4,0.0
n2_chain_036ff458,wm_planner,0,True,True,11.9,11.9,0.0
n2_chain_036ff458,wm_planner,1,True,True,11.9,11.9,0.0
n2_chain_036ff458,wm_planner,2,True,True,11.9,11.9,0.0
n2_chain_037af541,lower_bound,0,True,True,8.9,8.9,0.0
n2_chain_037af541,sequential,0,True,True,14.0,14.0,0.0
n2_chain_037af541,wm_planner,0,True,True,9.8,9.6,-0.20000000000000107
n2_chain_037af541,wm_planner,1,True,True,9.6,9.6,0.0
n2_chain_037af541,wm_planner,2,True,True,9.6,9.6,0.0
n2_chain_044fcb2b,lower_bound,0,True,True,13.3,13.3,0.0
n2_chain_044fcb2b,sequential,0,True,True,17.8,17.8,0.0
n2_chain_044fcb2b,wm_planner,0,True,True,13.7,13.7,0.0
n2_chain_044fcb2b,wm_planner,1,True,True,13.7,13.7,0.0
n2_chain_044fcb2b,wm_planner,2,True,True,13.7,13.7,0.0
n2_chain_0527f852,lower_bound,0,True,True,6.8,6.8,0.0
n2_chain_0527f852,sequential,0,False,False,,,
n2_chain_0527f852,wm_planner,0,True,True,12.3,10.1,-2.200000000000001
n2_chain_0527f852,wm_planner,1,True,True,13.3,9.8,-3.5
n2_chain_0527f852,wm_planner,2,True,True,8.4,10.1,1.6999999999999993
n2_chain_060a40ee,lower_bound,0,True,True,11.4,11.4,0.0
n2_chain_060a40ee,sequential,0,True,True,17.0,17.0,0.0
n2_chain_060a40ee,wm_planner,0,True,True,12.1,12.0,-0.09999999999999964
n2_chain_060a40ee,wm_planner,1,True,True,11.8,12.0,0.1999999999999993
n2_chain_060a40ee,wm_planner,2,True,True,12.1,12.0,-0.09999999999999964
n2_chain_062b2ca2,lower_bound,0,True,True,9.5,9.5,0.0
n2_chain_062b2ca2,sequential,0,True,True,12.7,12.7,0.0
