uid,split
n2_chain_02697044,val
n2_chain_037af541,train
n2_chain_044fcb2b,val
n2_chain_060a40ee,train
n2_chain_096c9edb,train
n2_chain_09ac254f,train
n2_chain_0bbc5f6a,train
n2_chain_0df40746,val
n2_chain_0f5be0e9,test
n2_chain_17c11878,test
n2_chain_197e59af,train
n2_chain_23a7937c,val
n2_chain_281b17fc,train
n2_chain_310849fd,val
n2_chain_3c3d12e3,test
n2_chain_3c52259f,train
n2_chain_3fc4fe76,test
n2_chain_4387676d,test
n2_chain_44dbed2b,val
n2_chain_47f74576,test
n2_chain_5849f8ee,val
n2_chain_598addcf,test
n2_chain_5aa18f01,val
n2_chain_5c29c9ac,train
n2_chain_5d8ff341,train
n2_chain_5ee6ddc6,train
n2_chain_5fd352f9,test
n2_chain_631adeb0,test
n2_chain_66a35431,val
n2_chain_6e33da4f,val
n2_chain_78a396e2,train
n2_chain_7970095e,train
n2_chain_7e07b912,train
n2_chain_94c06314,test
n2_chain_96f0c179,test
n2_chain_97197cd4,val
n2_chain_971dcf72,val
n2_chain_9e2fbfe5,test
n2_chain_add0f77c,val
n2_chain_b20c95e7,test
n2_chain_b6c997d2,val
n2_chain_c08d4520,test
n2_chain_c42bb4a6,test
n2_chain_c66aa2b5,train
n2_chain_c864a2eb,val
n2_chain_d5b7e448,val
n2_chain_df59fd82,test
n2_chain_e453c916,test
n2_chain_e657d1ee,test
n2_chain_f4e42d69,val
n2_chain_f52c4bb3,val
n2_chain_f74f773a,train
n2_chain_fcca7b3d,train
n2_chain_fd34a894,train
n2_fork_0299c92d,train
n2_fork_05211320,test
n2_fork_15c7021e,test
n2_fork_1c216097,test
n2_fork_262a47ca,val
n2_fork_286e66c9,test
n2_fork_316fcc52,train
n2_fork_374c24ae,val
n2_fork_42b91219,val
n2_fork_4807c41c,val
n2_fork_4c6f4acf,train
n2_fork_5177e6e0,test
n2_fork_59be69f1,train
n2_fork_5af9e942,test
n2_fork_5e5d8778,test
n2_fork_6fbe7a22,test
n2_fork_78dd8814,test
n2_fork_7fa3c756,val
n2_fork_90028812,val
n2_fork_97ecd536,train
n2_fork_a31417e2,val
n2_fork_a8f530ad,train
n2_fork_adcede4c,train
n2_fork_b6080d5b,train
n2_fork_bab01756,train
n2_fork_c0e5e220,train
n2_fork_c9bf8299,val
n2_fork_c9f3e05e,test
n2_fork_cc8ad586,val
n2_fork_cd2ba200,test
n2_fork_d159b296,test
n2_fork_da5e87a6,train
n2_fork_de1ea86b,val
n2_fork_e133b2ac,train
n2_fork_e4162edc,test
n2_fork_ea461018,train
n2_fork_f01154e3,test
n2_fork_f77bcc36,val
n2_fork_f79b24d8,val
n2_fork_fd6150b1,train
n2_none_01f73d01,train
n2_none_059afb00,val
n2_none_0cadfc8f,val
n2_none_0eca829a,test
n2_none_0f271953,val
n2_none_1278d0a3,test
n2_none_1b1c65a3,test
n2_none_28aa38ee,train
n2_none_2971c94f,val
n2_none_32bc9bfc,val
n2_none_34a1b4cb,test
n2_none_361fe2ad,test
n2_none_362826d0,test
n2_none_36b27ed9,val
n2_none_3c094cb7,train
n2_none_3df7ba18,val
n2_none_424c7e5c,val
n2_none_42c6b993,test
n2_none_4351ba7d,val
n2_none_4465af1c,train
n2_none_451c8b1c,val
n2_none_4af9b378,train
n2_none_4e151559,test
n2_none_50ec4805,val
n2_none_5277776c,val
n2_none_5556ecb9,test
n2_none_55794143,test
n2_none_5790bc4a,test
n2_none_59ff292a,test
n2_none_60c0d2c1,train
n2_none_677f52a4,train
n2_none_6e5584d7,test
n2_none_6ecdad40,test
n2_none_743c5ac0,train
n2_none_746b3748,val
n2_none_77530fe2,train
n2_none_7bba493a,val
n2_none_7ce71e03,train
n2_none_805612ec,test
n2_none_80db75e0,val
n2_none_815fe4bd,train
n2_none_83569024,train
n2_none_8890b361,val
n2_none_8968e600,test
n2_none_89872620,test
n2_none_8b0b7b48,test
n2_none_8c880d52,train
n2_none_8cea794a,test
n2_none_8eb6242b,train
n2_none_916bffe1,val
n2_none_998985c1,val
n2_none_9a60e2ac,test
n2_none_9afb1141,train
n2_none_a3236343,val
n2_none_a44d8cc8,train
n2_none_a80dce28,val
n2_none_b2626e25,test
n2_none_b3523c89,val
