uid,split
n2_chain_02697044,test
n2_chain_037af541,train
n2_chain_044fcb2b,val
n2_chain_0527f852,train
n2_chain_060a40ee,test
n2_chain_062b2ca2,test
n2_chain_07fc2cfc,test
n2_chain_096c9edb,train
n2_chain_09ac254f,train
n2_chain_0bbc5f6a,val
n2_chain_0df40746,val
n2_chain_0f363b74,train
n2_chain_0f5be0e9,test
n2_chain_1659db46,test
n2_chain_17c11878,test
n2_chain_197e59af,test
n2_chain_1c4894d1,val
n2_chain_1dc33093,val
n2_chain_1fd7a35b,train
n2_chain_2026a5b2,val
n2_chain_2229e9ff,val
n2_chain_22ddf30f,test
n2_chain_23a7937c,val
n2_chain_23cd6768,test
n2_chain_23f6c4f1,test
n2_chain_23fea14c,val
n2_chain_26165628,train
n2_chain_281b17fc,train
n2_chain_28565781,train
n2_chain_2e720f08,train
n2_chain_2f442b4e,val
n2_chain_310849fd,val
n2_chain_359d5e67,test
n2_chain_3c3d12e3,train
n2_chain_3c52259f,test
n2_chain_3fc4fe76,test
n2_chain_4387676d,test
n2_chain_44dbed2b,val
n2_chain_44e34d43,test
n2_chain_4718f0ed,test
n2_chain_47f74576,train
n2_chain_5849f8ee,val
n2_chain_598addcf,val
n2_chain_5a72ff5b,train
n2_chain_5aa18f01,test
n2_chain_5c29c9ac,test
n2_chain_5d8ff341,train
n2_chain_5ee6ddc6,test
n2_chain_5fca519e,val
n2_chain_5fd352f9,val
n2_chain_609c4670,test
n2_chain_631adeb0,val
n2_chain_66a35431,val
n2_chain_6e33da4f,train
n2_chain_6f1a01c0,train
n2_chain_78a396e2,train
n2_chain_7970095e,train
n2_chain_7c1181be,test
n2_chain_7dbdddb5,test
n2_chain_7e07b912,test
n2_chain_7ef8320b,test
n2_chain_810c8d4a,test
n2_chain_84847a1e,val
n2_chain_874989c6,train
n2_chain_8ce73f4a,train
n2_chain_8e2a30af,val
n2_chain_8eb9508a,test
n2_chain_8fee468a,val
n2_chain_94c06314,test
n2_chain_96f0c179,test
n2_chain_97197cd4,val
n2_chain_971dcf72,test
n2_chain_97c5c984,train
n2_chain_9db623ea,val
n2_chain_9e2fbfe5,train
n2_chain_a0835bea,train
n2_chain_a574eda7,train
n2_chain_a9a6f99d,train
n2_chain_ad20fe6a,train
n2_chain_add0f77c,test
n2_chain_af13c85c,train
n2_chain_b20c95e7,train
n2_chain_b6c997d2,val
n2_chain_b7b3274d,test
n2_chain_c08d4520,val
n2_chain_c42bb4a6,val
n2_chain_c66aa2b5,train
n2_chain_c6c53e90,val
n2_chain_c6c90b1b,train
n2_chain_c864a2eb,test
n2_chain_ca107d3f,val
n2_chain_cc71d41d,val
n2_chain_cfeafdf3,test
n2_chain_d4cd2878,val
n2_chain_d5b7e448,test
n2_chain_dd29f211,test
n2_chain_dd56a491,test
n2_chain_df59fd82,train
n2_chain_dfcea27a,val
n2_chain_e1706195,train
n2_chain_e265fcdf,test
n2_chain_e453c916,train
n2_chain_e657d1ee,train
n2_chain_e77e4768,train
n2_chain_e801a7fe,test
