uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,obstacle_tokens,mode,k,density,y_exit,dt_delay,solo_exit_s,stalled
n2_chain_810c8d4a,0,3,0,0,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r00|A>B,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,1,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r00|B>A,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,2,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r00|B>A|s,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,3,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r01|B>A,2,0.0707355302630646,0,-1.0,10.0,1
n2_chain_810c8d4a,0,3,0,4,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r01|B>A|cs,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,5,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r10|A>B,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,6,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r10|A>B|cs,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,7,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r10|B>A|cs,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,8,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r02|A>B|s,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,9,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r11|A>B|cs,2,0.0707355302630646,0,-1.0,10.0,1
n2_chain_810c8d4a,0,3,0,10,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r11|B>A|cs,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,11,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r03|B>A,2,0.0707355302630646,0,-1.0,10.0,1
n2_chain_810c8d4a,0,3,0,12,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r12|A>B,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,13,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r12|A>B|s,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,14,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r12|A>B|cs,2,0.0707355302630646,0,-1.0,10.0,0
n2_chain_810c8d4a,0,3,0,15,"0,1","[[0.9212287865857922, -0.4593279934363319, -0.8357207310532745, -0.8611450846447309, 1.0, 0.0, 0.0, 0.0], [-0.9212287865857913, 0.45932799343633146, 1.1691423044381082, -0.27038170998266525, 1.0, 0.0, 0.0, 0.0]]","[[-0.7154511448534464, 2.1044788531979233, 0.9775979567946722, 1.0059739637749159], [1.4735017360003564, -2.3365973463127285, 0.7352696123759093, 0.6569021551821527]]",r12|B>A|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,0,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r000|A>B>C,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,1,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r000|A>B>C|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,2,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r000|B>A>C|s,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,3,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r000|B>C>A,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,4,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r001|A>C>B|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,5,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r001|B>A>C|s,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,6,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r010|A>B>C,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,7,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r010|C>A>B|s,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,8,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r011|C>A>B|s,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,9,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r101|B>A>C|s,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,10,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r101|C>A>B,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,11,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r110|B>C>A|s,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,12,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r021|B>A>C|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,13,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r120|A>B>C|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,14,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r031|C>B>A|s,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,1,1,15,"1,2","[[-0.7631418968799606, 0.6528048143926775, 1.1998764340049628, 0.017220343769343505, 1.0, 0.0, 0.0, 0.0], [0.7631418968799601, -0.6528048143926775, -1.0560052148064831, -0.5699587558951206, 1.0, 0.0, 0.0, 0.0]]","[[2.15808427557313, -1.9321915709821447, 1.6455100659585291, 0.7585755739915971]]",r121|B>A>C,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,0,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r000|A>B>C,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,1,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r010|A>B>C|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,2,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r011|C>B>A|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,3,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r020|C>B>A|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,4,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r101|A>B>C|s,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,5,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r101|C>A>B|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,6,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r021|B>A>C,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,7,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r030|A>B>C|s,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,8,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r030|C>B>A|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,9,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r111|B>C>A|cs,2,0.0707355302630646,0,-1.0,10.0,0
n3_chain_dc578e78,0,2,1,10,"1,2","[[0.12774687036027244, 0.7586604513555821, 1.1998764340049626, 0.017220343769344944, 1.0, 0.0, 0.0, 0.0], [-0.12774687036027288, -0.7586604513555821, -0.41816436518198113, 0.03922452921260703, 1.0, 0.0, 0.0, 0.0]]","[[1.8490966088084013, -1.8435562777885819, 1.6455100659585291, 0.7585755739915971]]",r111|C>B>A|s,2,0.0707355302630646,0,-1.0,10.0,0
