uid,replan_idx,agent,pos_x,pos_y,sg_x,sg_y,phase
n2_chain_3c3d12e3,0,0,4.279944,7.466376,0.688337,2.291081,0
n2_chain_3c3d12e3,0,1,6.799784,2.625073,1.214522,2.130987,0
n2_chain_3c3d12e3,1,0,3.862789,6.341494,0.688337,2.291081,0
n2_chain_3c3d12e3,1,1,5.604452,2.519331,1.214522,2.130987,0
n2_chain_3c3d12e3,2,0,3.500579,5.197494,0.688337,2.291081,0
n2_chain_3c3d12e3,2,1,4.409120,2.413589,1.214522,2.130987,0
n2_chain_3c3d12e3,3,0,3.153433,4.050032,0.688337,2.291081,0
n2_chain_3c3d12e3,3,1,3.213788,2.307847,1.214522,2.130987,0
n2_chain_3c3d12e3,4,0,2.614093,3.159562,0.688337,2.291081,0
n2_chain_3c3d12e3,4,1,2.038691,2.149533,1.214522,2.130987,0
n2_chain_3c3d12e3,5,0,1.530586,2.651539,0.688337,2.291081,0
n2_chain_3c3d12e3,5,1,1.617563,1.719467,1.214522,2.130987,0
n2_chain_3c3d12e3,6,0,0.688337,2.291081,1.353898,1.093716,1
n2_chain_3c3d12e3,6,1,1.449216,1.747036,1.214522,2.130987,0
n2_chain_3c3d12e3,7,0,0.688337,2.291081,1.353898,1.093716,1
n2_chain_3c3d12e3,7,1,1.449216,1.747036,1.214522,2.130987,0
n2_chain_3c3d12e3,8,0,0.589125,2.106376,1.353898,1.093716,2
n2_chain_3c3d12e3,8,1,1.506749,1.942247,1.214522,2.130987,0
n2_chain_3c3d12e3,9,0,0.459628,1.296077,1.353898,1.093716,2
n2_chain_3c3d12e3,9,1,1.214522,2.130987,5.106577,1.818108,1
n2_chain_3c3d12e3,10,0,1.334891,1.052382,1.353898,1.093716,2
n2_chain_3c3d12e3,10,1,1.214522,2.130987,5.106577,1.818108,1
n2_chain_3c3d12e3,11,0,1.353898,1.093716,1.353898,1.093716,3
n2_chain_3c3d12e3,11,1,2.051821,2.063677,5.106577,1.818108,2
n2_chain_3c3d12e3,12,0,1.353898,1.093716,1.353898,1.093716,3
n2_chain_3c3d12e3,12,1,3.247962,1.967521,5.106577,1.818108,2
n2_chain_3c3d12e3,13,0,1.353898,1.093716,1.353898,1.093716,3
n2_chain_3c3d12e3,13,1,4.444103,1.871364,5.106577,1.818108,2
n2_chain_78a396e2,0,0,3.788066,7.483039,4.780996,1.281603,0
n2_chain_78a396e2,0,1,1.519548,5.311119,4.242062,1.171827,0
n2_chain_78a396e2,1,0,2.864633,6.917325,4.780996,1.281603,0
n2_chain_78a396e2,1,1,2.423709,4.522787,4.242062,1.171827,0
n2_chain_78a396e2,2,0,2.700886,5.882702,4.780996,1.281603,0
n2_chain_78a396e2,2,1,3.409750,3.839614,4.242062,1.171827,0
n2_chain_78a396e2,3,0,2.807364,4.728064,4.780996,1.281603,0
n2_chain_78a396e2,3,1,4.163330,3.140274,4.242062,1.171827,0
n2_chain_78a396e2,4,0,3.193562,4.032163,4.780996,1.281603,0
n2_chain_78a396e2,4,1,4.228527,1.954561,4.242062,1.171827,0
n2_chain_78a396e2,5,0,4.071186,3.327115,4.780996,1.281603,0
n2_chain_78a396e2,5,1,4.234282,1.621759,4.242062,1.171827,0
n2_chain_78a396e2,6,0,4.512741,2.231952,4.780996,1.281603,0
n2_chain_78a396e2,6,1,4.799973,1.126212,4.242062,1.171827,0
n2_chain_78a396e2,7,0,4.780996,1.281603,6.356310,2.645652,1
n2_chain_78a396e2,7,1,4.154365,0.556914,4.242062,1.171827,0
