uid,agent,route_idx,n_routes,length,len1,len2,hx,hy,sx,sy
n2_chain_02697044,0,0,4,6.061482,4.243940,1.817542,-0.699827,0.714313,7.959183,1.758104
n2_chain_02697044,0,1,4,7.100826,4.243940,2.856886,-0.699827,0.714313,7.959183,1.758104
n2_chain_02697044,0,2,4,8.234561,6.417018,1.817542,-0.554620,0.832104,7.959183,1.758104
n2_chain_02697044,0,3,4,9.273904,6.417018,2.856886,-0.554620,0.832104,7.959183,1.758104
n2_chain_02697044,1,0,4,7.669182,1.441596,6.227587,-0.100402,-0.994947,4.925981,5.478854
n2_chain_02697044,1,1,4,8.135529,1.441596,6.693933,-0.100402,-0.994947,4.925981,5.478854
n2_chain_02697044,1,2,4,8.745000,2.517413,6.227587,0.497662,-0.867371,4.925981,5.478854
n2_chain_02697044,1,3,4,9.211346,2.517413,6.693933,0.497662,-0.867371,4.925981,5.478854
n2_chain_037af541,0,0,4,7.812522,4.300939,3.511583,0.342031,-0.939689,1.564153,6.000559
n2_chain_037af541,0,1,4,8.172507,4.660924,3.511583,0.342031,-0.939689,1.564153,6.000559
n2_chain_037af541,0,2,4,8.345721,4.300939,4.044782,0.342031,-0.939689,1.564153,6.000559
n2_chain_037af541,0,3,4,8.705706,4.660924,4.044782,0.342031,-0.939689,1.564153,6.000559
n2_chain_037af541,1,0,4,5.891243,2.427340,3.463902,-0.971562,-0.236785,6.931410,5.035181
n2_chain_037af541,1,1,4,5.901117,2.437215,3.463902,-0.979881,-0.199582,6.931410,5.035181
n2_chain_037af541,1,2,4,8.439355,2.427340,6.012014,-0.971562,-0.236785,6.931410,5.035181
n2_chain_037af541,1,3,4,8.449229,2.437215,6.012014,-0.979881,-0.199582,6.931410,5.035181
n2_chain_044fcb2b,0,0,4,11.591641,7.142648,4.448993,0.625550,0.780184,2.501368,3.499904
n2_chain_044fcb2b,0,1,4,12.244704,7.795710,4.448993,0.893415,0.449231,2.501368,3.499904
n2_chain_044fcb2b,0,2,4,13.212364,7.142648,6.069716,0.625550,0.780184,2.501368,3.499904
n2_chain_044fcb2b,0,3,4,13.865427,7.795710,6.069716,0.893415,0.449231,2.501368,3.499904
n2_chain_044fcb2b,1,0,2,7.525377,0.720493,6.804884,-0.849478,-0.527624,10.647039,5.441867
n2_chain_044fcb2b,1,1,2,7.573374,0.720493,6.852881,-0.849478,-0.527624,10.647039,5.441867
n2_chain_060a40ee,0,0,4,12.617716,4.601571,8.016145,-0.134540,-0.990908,2.082677,6.393004
n2_chain_060a40ee,0,1,4,12.624267,4.608121,8.016145,-0.091623,-0.995794,2.082677,6.393004
n2_chain_060a40ee,0,2,4,14.088548,4.601571,9.486978,-0.134540,-0.990908,2.082677,6.393004
n2_chain_060a40ee,0,3,4,14.095099,4.608121,9.486978,-0.091623,-0.995794,2.082677,6.393004
n2_chain_060a40ee,1,0,1,5.069655,3.853144,1.216511,-0.990328,-0.138746,5.218315,7.313263
n2_chain_096c9edb,0,0,4,11.295787,3.923118,7.372669,-0.194471,-0.980908,9.108455,2.803939
n2_chain_096c9edb,0,1,4,12.476908,3.923118,8.553790,-0.194471,-0.980908,9.108455,2.803939
n2_chain_096c9edb,0,2,4,13.021479,5.648810,7.372669,-0.373806,0.927507,9.108455,2.803939
n2_chain_096c9edb,0,3,4,14.202600,5.648810,8.553790,-0.373806,0.927507,9.108455,2.803939
n2_chain_096c9edb,1,0,4,16.017201,9.103265,6.913936,-0.143366,-0.989670,8.812330,9.430222
n2_chain_096c9edb,1,1,4,16.872302,9.958366,6.913936,-0.003380,-0.999994,8.812330,9.430222
n2_chain_096c9edb,1,2,4,17.042724,9.103265,7.939458,-0.143366,-0.989670,8.812330,9.430222
n2_chain_096c9edb,1,3,4,17.897824,9.958366,7.939458,-0.003380,-0.999994,8.812330,9.430222
n2_chain_09ac254f,0,0,1,8.511697,5.876657,2.635040,0.996727,0.080838,0.713712,0.587405
n2_chain_09ac254f,1,0,4,18.844105,8.763371,10.080734,0.372314,-0.928107,3.442954,8.880606
n2_chain_09ac254f,1,1,4,18.882185,8.801451,10.080734,0.393219,-0.919445,3.442954,8.880606
n2_chain_09ac254f,1,2,4,20.376407,8.763371,11.613036,0.372314,-0.928107,3.442954,8.880606
n2_chain_09ac254f,1,3,4,20.414487,8.801451,11.613036,0.393219,-0.919445,3.442954,8.880606
n2_chain_0bbc5f6a,0,0,2,9.660876,7.577070,2.083805,-0.900418,-0.435025,3.788066,7.483039
n2_chain_0bbc5f6a,0,1,2,11.412993,9.329188,2.083805,0.986453,-0.164044,3.788066,7.483039
n2_chain_0bbc5f6a,1,0,4,8.532389,5.312883,3.219506,0.736464,-0.676477,1.519548,5.311119
n2_chain_0bbc5f6a,1,1,4,8.766404,5.312883,3.453521,0.736464,-0.676477,1.519548,5.311119
n2_chain_0bbc5f6a,1,2,4,9.552372,6.332866,3.219506,0.149901,-0.988701,1.519548,5.311119
n2_chain_0bbc5f6a,1,3,4,9.786387,6.332866,3.453521,0.149901,-0.988701,1.519548,5.311119
n2_chain_0df40746,0,0,4,7.812522,4.300939,3.511583,0.342031,-0.939689,1.564153,6.000559
n2_chain_0df40746,0,1,4,8.172507,4.660924,3.511583,0.342031,-0.939689,1.564153,6.000559
n2_chain_0df40746,0,2,4,8.345721,4.300939,4.044782,0.342031,-0.939689,1.564153,6.000559
n2_chain_0df40746,0,3,4,8.705706,4.660924,4.044782,0.342031,-0.939689,1.564153,6.000559
n2_chain_0df40746,1,0,1,4.040757,2.068242,1.972514,-0.703372,0.710822,6.931410,5.035181
n2_chain_0f5be0e9,0,0,4,4.911674,3.774561,1.137114,-0.162224,0.986754,6.977584,1.031923
n2_chain_0f5be0e9,0,1,4,5.355827,4.218714,1.137114,-0.388870,0.921293,6.977584,1.031923
n2_chain_0f5be0e9,0,2,4,5.672090,3.774561,1.897529,-0.162224,0.986754,6.977584,1.031923
n2_chain_0f5be0e9,0,3,4,6.116243,4.218714,1.897529,-0.388870,0.921293,6.977584,1.031923
n2_chain_0f5be0e9,1,0,4,14.538819,8.005990,6.532829,0.893968,-0.448131,1.023977,1.998658
n2_chain_0f5be0e9,1,1,4,15.006278,8.473449,6.532829,0.633183,0.774002,1.023977,1.998658
n2_chain_0f5be0e9,1,2,4,19.042556,8.005990,11.036566,0.893968,-0.448131,1.023977,1.998658
n2_chain_0f5be0e9,1,3,4,19.510015,8.473449,11.036566,0.633183,0.774002,1.023977,1.998658
n2_chain_17c11878,0,0,1,3.641960,1.172480,2.469480,-0.259327,0.965789,7.054707,2.292900
n2_chain_17c11878,1,0,4,14.233061,7.598356,6.634705,0.351731,-0.936101,0.504597,3.213238
n2_chain_17c11878,1,1,4,14.342530,7.598356,6.744174,0.351731,-0.936101,0.504597,3.213238
n2_chain_17c11878,1,2,4,15.059878,8.425173,6.634705,0.311221,0.950337,0.504597,3.213238
n2_chain_17c11878,1,3,4,15.169347,8.425173,6.744174,0.311221,0.950337,0.504597,3.213238
n2_chain_197e59af,0,0,2,5.670307,4.576831,1.093476,0.982477,-0.186386,4.102208,5.419884
n2_chain_197e59af,0,1,2,6.853263,5.759787,1.093476,0.982477,-0.186386,4.102208,5.419884
n2_chain_197e59af,1,0,4,12.061159,5.757152,6.304008,-0.132969,0.991120,6.385034,0.664829
n2_chain_197e59af,1,1,4,12.221716,5.917709,6.304008,-0.256668,0.966500,6.385034,0.664829
n2_chain_197e59af,1,2,4,12.545899,5.757152,6.788748,-0.132969,0.991120,6.385034,0.664829
n2_chain_197e59af,1,3,4,12.706456,5.917709,6.788748,-0.256668,0.966500,6.385034,0.664829
n2_chain_23a7937c,0,0,2,10.601571,3.797277,6.804294,-0.094815,-0.995495,8.391820,4.072180
n2_chain_23a7937c,0,1,2,10.613060,3.797277,6.815782,-0.094815,-0.995495,8.391820,4.072180
n2_chain_23a7937c,1,0,4,11.624648,3.571625,8.053023,-0.125912,0.992041,4.058475,5.092182
n2_chain_23a7937c,1,1,4,12.432225,4.379202,8.053023,0.701610,0.712561,4.058475,5.092182
n2_chain_23a7937c,1,2,4,14.734707,3.571625,11.163082,-0.125912,0.992041,4.058475,5.092182
n2_chain_23a7937c,1,3,4,15.542285,4.379202,11.163082,0.701610,0.712561,4.058475,5.092182
n2_chain_281b17fc,0,0,4,9.998404,5.869959,4.128445,-0.062458,-0.998048,3.429911,9.446241
n2_chain_281b17fc,0,1,4,10.383660,6.255215,4.128445,0.265236,-0.964183,3.429911,9.446241
n2_chain_281b17fc,0,2,4,10.573928,5.869959,4.703969,-0.062458,-0.998048,3.429911,9.446241
n2_chain_281b17fc,0,3,4,10.959184,6.255215,4.703969,0.265236,-0.964183,3.429911,9.446241
n2_chain_281b17fc,1,0,2,12.076614,7.957421,4.119194,-0.992548,0.121851,7.602392,7.692767
