uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,n_replans,n_replans_over_1s,replan_ms_median,replan_ms_p90,replan_ms_max,max_accel,phys_fp
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,0,1.648,9.5,1.1053,b6767bd,2,300.0,12,12,True,,0,0,0,0,0,86,0,168,0,0,2.867013,0.430786,-1,92,0,11,0,116.066,260.338,416.58,12.0,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.1,,,,,,,,,0.0,10.1,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.1,19.3,14.239,5.2,True,1.2616,0.3467,0,,0.012,10.1,1.396,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.261584,0.346746,-1,,,,,,,,,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,0,2.169,10.1,1.0891,b6767bd,0,300.0,12,12,True,,0,0,0,0,0,111,0,142,0,0,2.523283,0.331312,-1,92,23,11,0,161.82,293.366,489.792,12.0,65eb7c9d9016
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.0,17.5,14.457,3.163,True,0.9241,0.6898,0,0,2.323,8.5,1.0588,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,106,0,151,0,0,0.924115,0.68983,-1,80,0,9,0,196.387,428.623,787.483,12.0,65eb7c9d9016
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.1,17.8,14.594,3.36,True,0.9341,0.7454,0,1,2.443,8.5,1.0706,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,106,0,154,0,0,0.934124,0.745364,-1,88,0,10,0,183.197,398.357,824.081,12.5187,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,0,2.52,9.5,1.1053,b6767bd,1,300.0,12,12,True,,0,0,0,0,0,86,0,168,0,0,2.867013,0.430786,-1,92,0,11,0,183.571,387.732,642.378,12.0,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,0,3.097,10.1,1.0891,b6767bd,2,300.0,12,12,True,,0,0,0,0,0,111,0,142,0,0,2.523283,0.331312,-1,92,23,11,0,234.222,426.069,676.863,12.0,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,0,3.1,10.1,1.0891,b6767bd,1,300.0,12,12,True,,0,0,0,0,0,111,0,142,0,0,2.523283,0.331312,-1,92,23,11,0,234.221,426.354,676.763,12.0,65eb7c9d9016
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.1,,,,,,,,,0.0,11.1,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.9,29.0,19.241,11.1,True,0.8088,0.4239,0,,0.005,11.1,1.6126,b6767bd,0,300.0,,,,,,,,,,,,,0,0,0.808835,0.423921,-1,,,,,,,,,65eb7c9d9016
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,20.8,19.412,3.055,True,2.4319,0.4314,0,0,3.538,11.1,1.027,b6767bd,0,300.0,16,15,True,,0,0,0,0,0,155,0,192,0,0,2.431936,0.431395,-1,104,1,12,0,245.731,455.065,944.439,17.148,65eb7c9d9016
