uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note
n2_chain_15091d17,2,2,chain,10.0,3-5,1.0,0.55,wm_planner,ok,14.8,20.5,20.418,1.635,True,1.0701,0.4382,0,1,0.683,13.9,1.0647,98f90f8,1,300.0,8,8,True,
n2_chain_15091d17,2,2,chain,10.0,3-5,1.0,0.55,lower_bound,ok,13.9,,,,,,,,,0.0,13.9,1.0,98f90f8,0,300.0,,,,
n2_chain_15091d17,2,2,chain,10.0,3-5,1.0,0.55,sequential,ok,18.9,24.5,20.086,5.6,True,1.9475,0.3512,0,,0.003,13.9,1.3597,98f90f8,0,300.0,,,,
n2_chain_15091d17,2,2,chain,10.0,3-5,1.0,0.55,coordination_astar,ok,14.2,19.8,20.086,0.9,True,0.7437,0.3512,0,,0.004,13.9,1.0216,98f90f8,0,300.0,,,,
n2_chain_15091d17,2,2,chain,10.0,3-5,1.0,0.55,wm_planner,ok,14.8,20.5,20.418,1.635,True,1.0701,0.4382,0,1,0.684,13.9,1.0647,98f90f8,0,300.0,8,8,True,
n2_chain_7d341442,1,2,chain,10.0,3-5,1.0,0.55,wm_planner,ok,14.4,26.5,23.816,3.927,True,0.9324,0.3236,0,1,0.818,11.2,1.2857,98f90f8,1,300.0,8,8,True,
n2_chain_7d341442,1,2,chain,10.0,3-5,1.0,0.55,lower_bound,ok,11.2,,,,,,,,,0.0,11.2,1.0,98f90f8,0,300.0,,,,
n2_chain_7d341442,1,2,chain,10.0,3-5,1.0,0.55,sequential,ok,21.6,32.0,22.308,10.4,True,4.3451,0.357,0,,0.004,11.2,1.9286,98f90f8,0,300.0,,,,
n2_chain_7d341442,1,2,chain,10.0,3-5,1.0,0.55,coordination_astar,ok,14.0,24.4,22.308,2.8,True,0.714,0.357,0,,0.007,11.2,1.25,98f90f8,0,300.0,,,,
n2_chain_7d341442,1,2,chain,10.0,3-5,1.0,0.55,wm_planner,ok,14.1,26.8,23.622,4.36,True,0.8091,0.3201,0,3,0.824,11.2,1.2589,98f90f8,0,300.0,8,8,True,
n2_chain_e2f46c6a,0,2,chain,10.0,3-5,1.0,0.55,wm_planner,ok,12.9,23.1,21.696,3.496,True,0.9562,0.5152,0,1,0.898,12.7,1.0157,98f90f8,1,300.0,8,8,False,
n2_chain_e2f46c6a,0,2,chain,10.0,3-5,1.0,0.55,lower_bound,ok,12.7,,,,,,,,,0.0,12.7,1.0,98f90f8,0,300.0,,,,
n2_chain_e2f46c6a,0,2,chain,10.0,3-5,1.0,0.55,sequential,ok,19.0,31.7,20.605,12.7,True,0.8252,0.5345,0,,0.005,12.7,1.4961,98f90f8,0,300.0,,,,
n2_chain_e2f46c6a,0,2,chain,10.0,3-5,1.0,0.55,coordination_astar,ok,16.6,29.3,20.605,10.3,True,0.7239,0.5345,0,,0.012,12.7,1.3071,98f90f8,0,300.0,,,,
n2_chain_e2f46c6a,0,2,chain,10.0,3-5,1.0,0.55,wm_planner,ok,12.8,22.9,21.532,3.419,True,0.9648,0.536,0,1,0.922,12.7,1.0079,98f90f8,0,300.0,8,8,True,
